,Date/Time,Run Time (h),Volume (L),Glucose (g/L),Lactate (g/L),pH,PO2 (%sat),PCO2 (mmHg),FLEX VCD (10^6/ml),Cedex TCD (10^6/ml),CEDEX Viab (%),Osmo (mOsm),Comments,Titer (ug/ml),FLEX TCD (10^6/ml),FLEX Viab (%),ViCell Viab [%],ViCell VCD [1e6 c/mL],ViCell TCD [1e6 c/mL],Total Cells-Cedex (10^9),Total Product (g),Cedex VCD (10^6),Viable Total Cells (10^9),spec. feed (ml/10^9/d),mu (1/h),qg,qp,ql,ql/qg,kd (units/h),glutamine,glutamate,NH4
0,2018-04-03 16:58:12,0.0,,8.62,0.04,7.006,100.0,101.0,,,,350.0,D37 R4660,,,,97.46835327148438,0.4914944602012634,0.5042579604148865,,,,,,,,,,,,4.8,4.74,1.87
1,2018-04-04 10:12:27,17.237500000046566,,8.97,0.31,7.056,100.0,80.3,,,,346.0,D37 R4660,,,,97.5543441772461,0.7637823058128357,0.7829274965286255,,,,,,,,,,,,4.03,4.82,2.57
2,2018-04-05 09:39:25,40.6869444444892,,8.93,0.51,7.076,74.5,54.5,,,,344.0,D37 R4660,,,,97.48177337646484,1.564691407775879,1.6051090789794922,,,,,,,,,,,,2.83,4.92,3.89
3,2018-04-06 10:39:45,65.69249999988824,,7.32,1.61,6.984,71.8,23.3,,,,335.0,D37 R4660,,,,,,,,,,,,,,,,,,1.99,4.28,5.57
4,2018-04-06 15:07:34,70.15611111104954,,,,,,,,,,,D37 R4660,,,,98.69047546386719,4.408822877502441,4.467322213745117,,,,,,,,,,,,,,
5,2018-04-06 16:22:38,71.40722222212935,,,,,,,,,,,D37 R4660,,,,98.76760864257812,1.1934865547180176,1.2083772254943848,,,,,,,,,,,,,,
6,2018-04-07 13:43:24,92.75333333329763,,9.13,0.98,7.106,72.1,42.4,,,,345.0,D37 R4660,,,,97.8221435546875,2.2932740283966067,2.344328029251099,,,,,,,,,,,,3.91,4.33,3.34
7,2018-04-08 14:20:13,117.36694444448221,,7.31,1.82,6.829,69.4,23.6,,,,339.0,D37 R4660,,,,98.68086242675781,4.5353940559387205,4.59602056274414,,,,,,,,,,,,2.28,4.1,5.22
8,2018-04-09 09:20:10,136.3661111110705,,6.9,1.79,6.778,70.1,22.5,,,,328.0,D37 R4660,,,,97.78165435791016,8.345296723937988,8.53462205657959,,,,,,,,,,,,1.16,4.14,5.8
9,2018-04-10 08:56:18,159.96833333338145,,6.91,1.27,6.758,49.2,85.8,,,,324.0,D37 R4660,,,,97.05421447753906,18.43270955810547,18.992176873779297,,,,,,,,,,,,1.36,3.76,5.3
10,2018-04-10 13:58:35,165.00638888881076,,,,,,,,,,,D37 R4660,,,,95.32763671875,21.353422982788086,22.40002904663086,,,,,,,,,,,,,,
11,2018-04-11 08:15:55,183.2952777778264,,7.27,0.62,6.84,63.0,117.7,,,,332.0,D37 R4660,,,,93.4406509399414,20.682274682617187,22.134121759033203,,,,,,,,,,,,1.35,4.37,4.71
12,2018-04-11 12:47:06,187.81499999994412,,,,,,,,,,,D37 R4660,,,,94.1764144897461,20.554640634155273,21.825671060180664,,,,,,,,,,,,,,
13,2018-04-12 09:50:00,208.86333333322546,,7.62,0.72,6.795,35.0,118.3,,,,336.0,D37 R4660,,,,91.3054428100586,19.267655236816406,21.102406365966797,,,,,,,,,,,,1.84,4.28,4.75
14,2018-04-13 10:05:00,233.11333333334187,,7.53,0.71,6.763,33.6,134.8,,,,339.0,D37 R4660,,,,91.51222229003906,18.118941171264648,19.799467904663086,,,,,,,,,,,,1.8,4.32,4.73
15,2018-04-14 14:23:16,261.4177777778241,,7.98,0.78,6.778,35.5,125.3,,,,342.0,D37 R4660,,,,91.53425598144531,18.68797956237793,20.416369302368164,,,,,,,,,,,,2.98,3.71,4.39
16,2018-04-15 10:10:31,281.2052777778008,,8.2,0.76,6.803,40.7,123.3,,,,342.0,D37 R4660,,,,87.65117645263672,14.64620767364502,16.709637506103515,,,,,,,,,,,,3.14,3.69,4.35
17,2018-04-16 09:09:28,304.1877777777845,,8.19,0.61,6.821,62.0,115.9,,,,343.0,D37 R4660,,,,92.32769775390625,15.103566033935547,16.35864148864746,,,,,,,,,,,,2.33,4.41,4.24
18,2018-04-17 08:25:54,327.46166666666977,,9.19,0.67,6.832,52.6,113.4,,,,344.0,D37 R4660,,,,93.26663970947266,12.89122663269043,13.82189832458496,,,,,,,,,,,,0.0,4.39,3.98
19,2018-04-17 10:38:47,329.67638888885267,,,,,,,,,,,,,,,94.03278350830078,15.252472741699219,16.220372064208984,,,,,,,,,,,,,,
20,2018-04-17 13:56:09,332.9658333333791,,,,,,,,,,,,,,,93.04254150390625,13.726172311401367,14.752570016479492,,,,,,,,,,,,,,
21,2018-04-18 11:35:45,354.6258333332953,,8.77,0.62,6.846,67.4,110.4,,,,347.0,D37 R4660,,,,93.9432601928711,12.538103921508789,13.34645829925537,,,,,,,,,,,,0.51,4.36,3.66
22,2018-04-19 09:05:45,376.1258333333535,,8.73,0.58,6.835,57.7,105.6,,,,349.0,D37 R4660,,,,94.02941131591797,13.601728303527832,14.465391023254394,,,,,,,,,,,,0.0,4.72,3.8
23,2018-04-19 13:09:43,380.19194444449386,,8.73,0.58,6.835,57.7,105.6,,,,349.0,D37 R4660,,,,94.52086639404297,17.247832162475586,18.24763952026367,,,,,,,,,,,,0.0,4.72,3.8
24,2018-04-20 10:24:06,401.43166666670004,,7.46,0.89,6.743,38.1,139.3,,,,344.0,D37 R4660,,,,93.51640319824219,26.080168588256836,27.88833127746582,,,,,,,,,,,,0.0,4.47,5.0
25,2018-04-21 13:17:20,428.3188888889272,,8.9,1.0,6.735,0.0,146.3,,,,348.0,D37 R4660,,,,93.6180648803711,30.42507444152832,32.49914251098633,,,,,,,,,,,,,3.79,4.63
26,2018-04-22 13:16:39,452.30749999999534,,8.78,1.0,6.724,3.1,162.2,,,,348.0,D37 R4660,,,,91.22265625,27.679859979248047,30.343174798583984,,,,,,,,,,,,1.36,3.79,4.54
27,2018-04-22 13:23:20,452.4188888889039,,8.29,0.9,6.723,13.7,157.3,,,,,D37 R4660,,,,91.22265625,27.679859979248047,30.343174798583984,,,,,,,,,,,,1.44,3.74,4.5
